Country,series,Year,Value,Source,Exports (current US$),Imports (current US$),Current Account Balance (US$),NE.EXP.GNFS.CD,NE.IMP.GNFS.CD,NY.GDP.MKTP.CD,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.KD.ZG,SH.XPD.CHEX.GD.ZS
AFE,,2006,,IMF,171620048404.65,170494038141.913,,171620048404.65,170494038141.913,580240750535.502,,,,
AFE,,2007,,IMF,212658305483.187,210838706198.256,,212658305483.187,210838706198.256,665598701333.933,,,,
AFE,,2008,,IMF,253742496787.207,256523245522.615,,253742496787.207,256523245522.615,713502106251.46,,,,
AFE,,2009,,IMF,195361084537.952,225856088630.831,,195361084537.952,225856088630.831,715485349813.383,,,,
AFE,,2010,,IMF,250751186021.738,253998087123.003,,250751186021.738,253998087123.003,849409606774.9,,,,
AFE,,2011,,IMF,297204623989.906,303789481300.486,,297204623989.906,303789481300.486,945439030450.479,,,,
AFE,,2012,,IMF,285487123251.459,316072889792.735,,285487123251.459,316072889792.735,952998471719.373,,,,
AFE,,2013,,IMF,280986177518.746,328907474768.084,,280986177518.746,328907474768.084,962441293816.426,,,,
AFE,,2014,,IMF,279925017212.566,323652605315.519,,279925017212.566,323652605315.519,978743758351.278,,,,
AFE,,2015,,IMF,216246583932.483,277693375878.99,,216246583932.483,277693375878.99,898308853395.359,24.0726319366809,30.9129064941736,3.00336692879381,5.9713905922151
AFE,,2016,,IMF,192767883867.273,235707458546.953,,192767883867.273,235707458546.953,828961170566.435,23.2541511848562,28.434077121597,2.19599120737905,6.06778640864792
AFE,,2017,,IMF,232995474830.71,268996137862.59,,232995474830.71,268996137862.59,973025126473.894,23.945473605091,27.6453434288377,2.69623782915109,5.929017140206
AFE,,2018,,IMF,256174457178.484,288714057345.053,,256174457178.484,288714057345.053,1012291194268.21,25.3063998411714,28.5208504212826,2.66503807456537,5.789154817055
AFE,,2019,,IMF,241592762094.033,270016062650.169,,241592762094.033,270016062650.169,1009746517725.42,23.9260802442032,26.7409748793602,2.20034043292388,5.81267571889709
AFE,,2020,,IMF,205739029586.49,226409752659.382,,205739029586.49,226409752659.382,933407232177.078,22.041722250922,24.2562672383954,-2.85978392104712,6.03580639616092
AFE,,2021,,IMF,281013856158.598,286000273124.895,,281013856158.598,286000273124.895,1085604883589.65,25.8854635242059,26.3447850546884,4.56356807595664,6.04446785568353
AFE,,2022,,IMF,327245675975.611,357631906892.523,,327245675975.611,357631906892.523,1191638638185.25,27.4618215194812,30.0117749989343,3.55576878716199,5.72792044451625
AFE,,2023,,IMF,299372166928.7,342984571885.75,,299372166928.7,342984571885.75,1133818271029.39,26.4038933379421,30.2504008490139,1.89130738721937,
AFG,,2000,,IMF,,,,,,3521418059.92345,,,,
AFG,,2001,,IMF,,,,,,2813571753.87253,,,,
AFG,,2002,,IMF,,,,,,3825701438.99963,,,,
AFG,,2003,,IMF,,,,,,4520946818.54581,,,,
AFG,,2004,,IMF,,,,,,5224896718.67782,,,,
AFG,,2005,,IMF,,,,,,6203256538.70967,,,,
AFG,,2006,,IMF,,,,,,6971758282.29351,,,,
AFG,,2007,,IMF,,,,,,9747886187.39393,,,,
AFG,,2008,,IMF,,,-238376258.640059,,,10109297047.5432,,,,
AFG,,2009,,IMF,,,277627586.221436,,,12416152732.0567,,,,
AFG,,2010,,IMF,,,-577708206.772323,,,15856668555.8336,,,,
AFG,,2011,,IMF,,,-2246921171.24519,,,17805098206.3141,,,,
AFG,,2012,,IMF,,,-5150161881.41159,,,19907329777.5872,,,,
AFG,,2013,,IMF,,,-5095040596.60647,,,20146416757.5987,,,,
AFG,,2014,,IMF,,,-3232893168.37268,,,20497128555.6972,,,,
AFG,,2015,,IMF,,,-4192816422.8282,,,19134221644.7325,,,1.45131466066431,10.10534763
AFG,,2016,,IMF,,,-2708462935.14897,,,18116572395.0772,,,2.26031420279821,11.81859016
AFG,,2017,,IMF,,,-3554897942.49064,,,18753456497.8159,,,2.6470032027451,12.62081718
AFG,,2018,,IMF,,,-3896837603.93392,,,18053222687.4126,,,1.18922812944517,14.20841885
AFG,,2019,,IMF,,,-3791935256.04003,,,18799444490.1128,,,3.91160341625552,14.83131981
AFG,,2020,,IMF,2079570874.83738,7241822542.17594,-3136733353.20761,2079570874.83738,7241822542.17594,19955929052.1496,10.4208171386207,36.2890774127896,-2.35110067203466,15.53361416
AFG,,2021,,IMF,2045190335.08092,5286118076.13403,,2045190335.08092,5286118076.13403,14259995441.0759,14.342152797537,37.06956357719,-20.7388393676343,21.508461
AFG,,2022,,IMF,2664599570.76697,7901784705.74946,,2664599570.76697,7901784705.74946,14497243872.1337,18.3800424016375,54.5054272070161,-6.24017199240269,23.0881691
AFG,,2023,,IMF,2890629761.30015,8701650584.05282,,2890629761.30015,8701650584.05282,17152234636.8715,16.8527881206002,50.7318770310383,2.26694373649188,
AFW,,2000,,IMF,,,,,,142140075688.035,,,,
AFW,,2001,,IMF,,,,,,150058483260.659,,,,
AFW,,2002,,IMF,,,,,,179390065281.314,,,,
AFW,,2003,,IMF,,,,,,207754986323.249,,,,
AFW,,2004,,IMF,,,,,,258566656910.949,,,,
AFW,,2005,,IMF,,,,,,317096476047.265,,,,
AFW,,2006,,IMF,,,,,,402724221239.257,,,,
AFW,,2007,,IMF,,,,,,471537814858.507,,,,
AFW,,2008,,IMF,,,,,,575059454850.507,,,,
AFW,,2009,,IMF,,,,,,515474028936.376,,,,
AFW,,2010,,IMF,,,,,,606280114370.887,,,,
AFW,,2011,,IMF,,,,,,691187455140.185,,,,
AFW,,2012,,IMF,,,,,,748126849686.918,,,,
